group,team_name
A,دائرة القضاء
A,نادي مدينة أبوظبي للجولف
A,قطاع المشاريع الهندسية والفنية
A,مكتب التدقيق والتطوير المؤسسي
B,مكتب الأمين العام
B,المركز الوطني للمناصحة
B,هيئة أبوظبي للزراعة والسلامة الغذائية
B,مكتب الشؤون القانونية
C,مدارس الامارات الوطنية
C,مكتب التنسيق المجتمعي
C,قطاع الشؤون المالية والمشتريات
C,قطاع الخدمات المساندة
D,مكتب شؤون المواطنين والمجتمع
D,مكتب البعثات الدراسية
D,الارشيف والمكتبة الوطنية
D,مكتب الشؤون التنموية واسر الشهداء
